Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гаврилюк,Єлисавета,Лаврентіївна,Жінка,2004.07.02,Доцент,село Федорівка,"вулиця Хаджибейський 2-й, буд. 3 кв. 43, Жмеринка, 02003",+380 25 353-62-20,ashevchenko@example.org
Мірошниченко,Вікторія,Григоріївич,Жінка,1994.03.08,Машиніст,селище Новодружеськ,"шосе Одарія, буд. 29, Лебедин, 68295",+380 27 779-69-10,anastasiia64@example.org
Артимишин,Леопольд,Григоріївна,Чоловік,1963.12.13,Реабілітолог,місто Камінь-Каширський,"проспект Пересипська 10-та, буд. 90 кв. 625, Берестечко, 86740",076 775 16 81,zoriankarmaliuk@example.org
Рябошапка,Мирослав,Болеславівна,Чоловік,1990.03.13,Прокурор,місто Старобільськ,"набережна 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 04, Сватове, 74869",012 111 12 46,klyment45@example.org
Бабко,Тарас,Семенівна,Чоловік,1968.10.24,Художник,хутір Погребище,"сквер Різдвяна, буд. 8 кв. 51, Сновськ, 35244",985-98-11,dannachornovil@example.net
Токар,Дан,Макарович,Чоловік,1956.01.21,Графік,селище Алчевськ,"площа Церковна, буд. 18 кв. 581, Здолбунів, 66834",+380 (72) 278-11-78,avreliibabak@example.net
Ющенко,Венедикт,Афанасіївна,Чоловік,1952.12.03,Прокурор,селище Підгородне,"шосе Донецька, буд. 51 кв. 565, Сімферополь, 72911",+380 61 446 82 59,havryloiakovenko@example.net
Іванченко,Валерій,Євстахіївна,Чоловік,2007.02.01,Агроном,село Красноперекопськ,"проспект Дальня, буд. 8, Липовець, 20437",+380 (07) 832-95-13,demydtsymbaliuk@example.com
Шелест,Тетяна,Даніїлівна,Жінка,1954.12.28,Кінокритик,селище Турка,"парк Лесі Українки, буд. 5 кв. 2, Вилкове, 13698",+380 16 644 16 37,antonvoblyi@example.com
Негода,Ліза,Савеліївна,Жінка,1984.09.01,Драматург,хутір Гуляйполе,"шосе Літературна, буд. 7 кв. 0, Герца, 87516",+380 (94) 441-98-96,olhakharchenko@example.net
Андрійович,Людмила,Трифонівна,Жінка,1986.08.23,Дерун,хутір Ржищів,"вулиця Садова 4-та, буд. 86 кв. 09, Таврійськ, 15169",+380 61 889-68-51,ckaras@example.org
Жаліло,Світлана,Семіонівна,Жінка,1995.01.26,Епідеміолог,місто Прилуки,"площа Петра Лещенка, буд. 33, Березівка, 40381",+380 61 503-71-56,frantsivasiuk@example.com
Жарко,Макар,Натанович,Чоловік,1998.03.19,Кіноактор,село Моспине,"площа 411-ї батареї, буд. 494, Прип'ять , 03233",069 324 37 81,otelychenko@example.org
Вдовенко,Яків,Юліанівна,Чоловік,1980.05.23,Геолог,місто Бунге ,"узвіз Шевченка парк, буд. 0 кв. 09, Мостиська, 34998",076 493 75 15,btereshchenko@example.org
Яценко,Геннадій,Олесьович,Чоловік,1999.11.06,Державний службовець,місто Молочанськ,"набережна Квітковий, буд. 0 кв. 4, Вишгород, 42120",+380 (19) 739-92-62,mykhailo78@example.net
Гаврилів,Онисим,Іпатіївна,Чоловік,1972.10.23,Секретар,село Ірпінь,"набережна Балтська дорога, буд. 27 кв. 6, Жидачів, 56832",042 840-48-50,valentynverkhola@example.net
Гупало,Федір,Феофанівна,Чоловік,1990.02.13,Маркетолог,селище Скалат,"парк Полтавська, буд. 32 кв. 3, Рені, 53245",003 844 19 53,shchyrytsiamykhailo@example.com
Яременко,Лукʼян,Іракліївна,Чоловік,1959.07.07,Флорист,місто Міусинськ,"набережна Грецька, буд. 47, Дубляни, 60433",166-21-57,boleslav69@example.org
Єресько,Ярослава,Русланович,Жінка,1967.02.27,Дипломат,хутір Енергодар,"парк Слєпньова, буд. 484 кв. 02, Батурин, 10799",097 727 05 80,hresmaryna@example.com
Закусило,Любов,Корнеліївна,Жінка,1997.09.24,Випробувач,місто Тисмениця,"шосе Грузовий, буд. 40, Бережани, 22170",629-95-22,dankoemiliia@example.org
Стельмах,Марія,Юхимович,Жінка,1996.04.08,Менеджер,хутір Горохів,"парк Студена, буд. 08 кв. 64, Славутич, 56118",027 238 05 73,mykhailynakabanenko@example.net
Данилюк,Анастасія,Ярославівна,Жінка,1951.10.05,Диригент,хутір Жданівка,"сквер Олександра Невського, буд. 808 кв. 05, Нове Давидково, 35900",727-26-96,upetryk@example.org
Романець,Борис,Вітольдівна,Чоловік,1966.01.16,Громадський діяч,селище Хрестівка,"шосе Державіна, буд. 85, Тячів, 80791",+380 78 145-92-42,kasaula@example.com
Лупій,Олександр,Феофанівна,Чоловік,2007.11.30,Медик,селище Володимир-Волинський,"узвіз Фруктовий, буд. 91, Богуслав, 49041",+380 50 746-19-73,ssirko@example.com
Швачко,Хома,Феодорівна,Чоловік,1983.11.23,Клоун,село Долинська,"площа Газовий, буд. 3 кв. 4, Новомиргород, 10007",048 833-08-79,dziubaillia@example.com
Бездітко,Олесь,Афанасіївна,Чоловік,1996.09.14,Пекар,місто Переяслав,"проспект Отамана Чепіги, буд. 36 кв. 675, Дружба , 06178",019-10-65,baranartem@example.org
Бараник,Борис,Левівна,Чоловік,1973.07.19,Краєзнавець,селище Путивль,"шосе Мусіна, буд. 0, Обухів, 25517",035 840 17 15,lukiankorsun@example.com
Сірко,Пантелеймон,Казимирівна,Чоловік,1963.03.16,Клоун,селище Люботин,"площа Леонтовича, буд. 758, Моспине, 18324",+380 51 944 25 37,antonivanychuk@example.net
Штепа,Розалія,Горгоніївна,Жінка,1961.04.24,Бухгалтер,хутір Вознесенськ,"парк Степана Разіна, буд. 9 кв. 0, Герца, 29833",052 408 62 64,tetiana21@example.org
Власюк,Богуслава,Святославівна,Жінка,1991.04.23,Флорист,селище Севастополь,"проспект Каховський, буд. 861, Немирів, 36506",045-01-56,borys73@example.net
Бакуменко,Марʼяна,Назаріївна,Жінка,1955.03.02,Кіноактор,село Берестечко,"площа Чорноморський 13-й, буд. 646, Брянка, 65103",+380 02 352 19 14,dutkaielysei@example.org
Вовк,Юстина,Вадимівна,Жінка,1959.11.07,Музикознавець,хутір Кілія,"провулок Садова 5-та, буд. 091 кв. 1, Бібрка, 58361",+380 42 888 67 06,odarka69@example.org
Ільєнко,Арсен,Святославівна,Чоловік,1997.12.07,Мистецтвознавець,селище Мала Виска,"сквер Сибірська, буд. 14, Керч, 41859",+380 25 402 80 37,lavrenkomyron@example.com
Чумак,Болеслав,Андриянівна,Чоловік,1976.08.22,Штукатур,селище Бердичів,"проспект Квітнева, буд. 7, Баранівка, 71183",029 205-96-62,iurchukorysia@example.com
Ляшко,Давид,Варфоломійович,Чоловік,1990.06.22,Мовознавець,хутір Золочів,"набережна Чорноморського козацтва, буд. 25 кв. 00, Любомль, 85075",002 081 26 59,odarka58@example.com
Байда,Панас,Мар’янівна,Чоловік,1983.08.05,Редактор,село Гірське,"провулок Магнітогорський, буд. 145, Новоград-Волинський, 90410",400 03 99,albinavalenko@example.com
Дубенко,Юстим,Юхимівна,Чоловік,1987.04.08,Філолог,хутір Слов'янськ,"узвіз ПшеничнаРадищева, буд. 798 кв. 5, Нововолинськ, 27855",077 948 49 53,kvasylashko@example.com
Дейсун,Андрій,Мірілівна,Чоловік,1960.12.29,Парфюмер,місто Амвросіївка,"узвіз Соляний 3-й, буд. 941, Добропілля, 34444",+380 76 603-10-44,anastasiia94@example.com
Артим,Оксана,Даніїлівна,Жінка,1968.05.08,Петрограф,хутір Звенигородка,"сквер Краснослобідська, буд. 4, Світлодарськ, 02887",+380 (04) 979-90-28,bohodarandriiovych@example.com
Скорик,Лілія,Анікітівна,Жінка,1994.03.08,Державний службовець,село Сокиряни,"узвіз Моторний 2-й, буд. 72 кв. 850, Київ, 93827",371 97 38,teslenkovasyl@example.org
Шутько,Василина,Болеславівна,Жінка,1962.03.31,Круп'є,місто Городище ,"шосе Катерининська, буд. 8, Борщів, 99942",047 099-02-81,avlokh@example.net
